ProductID,ProductName,Category,Supplier,UnitsInStock,ReorderLevel,UnitPrice,LastRestockDate,Warehouse
P001,Laptop Pro 15,Electronics,TechSupply Co,45,20,1299.99,2024-04-15,North
P002,Wireless Mouse,Electronics,Peripheral Plus,150,50,29.99,2024-05-01,South
P003,Office Chair,Furniture,Comfort Furnishings,32,15,249.99,2024-04-20,East
P004,Standing Desk,Furniture,Ergo Solutions,18,10,599.99,2024-04-10,West
P005,USB-C Hub,Electronics,TechSupply Co,200,75,39.99,2024-05-05,North
P006,Monitor 27inch,Electronics,Display Direct,55,25,349.99,2024-04-25,South
P007,Mechanical Keyboard,Electronics,Peripheral Plus,88,40,89.99,2024-05-03,East
P008,Desk Lamp,Furniture,Light & Bright,120,50,45.99,2024-04-28,West
P009,Laptop Stand,Electronics,Ergo Solutions,75,30,54.99,2024-05-02,North
P010,Ergonomic Mouse Pad,Electronics,Peripheral Plus,180,60,19.99,2024-05-06,South
P011,File Cabinet,Furniture,Comfort Furnishings,25,12,189.99,2024-04-12,East
P012,Webcam HD,Electronics,TechSupply Co,65,30,79.99,2024-04-30,South
P013,Bookshelf,Furniture,Comfort Furnishings,28,15,129.99,2024-04-18,East
P014,Wireless Keyboard,Electronics,Peripheral Plus,95,45,49.99,2024-05-04,West
P015,Desktop Computer,Electronics,TechSupply Co,22,10,1899.99,2024-04-08,North
P016,Conference Table,Furniture,Comfort Furnishings,8,5,899.99,2024-03-25,South
P017,Desk Organizer,Furniture,Ergo Solutions,140,55,24.99,2024-05-07,South
P018,Headphones Pro,Electronics,Audio Masters,72,35,149.99,2024-04-22,East
P019,Power Strip,Electronics,TechSupply Co,110,50,32.99,2024-05-01,East
P020,Office Desk,Furniture,Comfort Furnishings,20,10,449.99,2024-04-15,West
P021,Document Scanner,Electronics,TechSupply Co,38,20,199.99,2024-04-28,West
P022,Laptop Bag,Electronics,Case Masters,92,40,59.99,2024-05-05,North
P023,Mesh Office Chair,Furniture,Comfort Furnishings,35,18,329.99,2024-04-20,North
P024,Tablet 10inch,Electronics,TechSupply Co,48,25,449.99,2024-04-18,South
P025,Cable Management Box,Electronics,Ergo Solutions,160,70,22.99,2024-05-06,South
P026,Executive Desk,Furniture,Comfort Furnishings,12,8,799.99,2024-03-30,East
P027,Printer All-in-One,Electronics,TechSupply Co,28,15,299.99,2024-04-25,East
P028,Whiteboard Large,Furniture,Light & Bright,42,20,179.99,2024-04-22,West
P029,External SSD 1TB,Electronics,Storage Solutions,80,40,119.99,2024-05-03,North
P030,Meeting Chair Set,Furniture,Comfort Furnishings,15,8,599.99,2024-04-10,South
P031,Docking Station,Electronics,TechSupply Co,58,30,149.99,2024-04-28,South
P032,Footrest,Furniture,Ergo Solutions,95,45,39.99,2024-05-02,East
P033,Bluetooth Speaker,Electronics,Audio Masters,105,50,69.99,2024-04-30,East
P034,Storage Cabinet,Furniture,Comfort Furnishings,18,10,249.99,2024-04-12,West
P035,Monitor Arm,Electronics,Display Direct,62,30,89.99,2024-04-26,West
P036,Smart Pen,Electronics,Tech Innovators,130,60,49.99,2024-05-04,North
P037,Desk Mat Large,Furniture,Ergo Solutions,88,40,34.99,2024-05-01,North
P038,Graphics Tablet,Electronics,Display Direct,35,20,249.99,2024-04-18,South
P039,Coat Rack,Furniture,Comfort Furnishings,52,25,79.99,2024-04-22,South
P040,Laptop Cooling Pad,Electronics,Peripheral Plus,98,45,29.99,2024-05-06,East
P041,Conference Phone,Electronics,Audio Masters,18,12,399.99,2024-04-08,East
P042,Drawer Dividers,Furniture,Ergo Solutions,155,65,14.99,2024-05-07,West
P043,Wireless Charger,Electronics,TechSupply Co,125,55,39.99,2024-05-05,West
P044,Bulletin Board,Furniture,Light & Bright,68,35,44.99,2024-04-24,North
P045,USB Flash Drive 128GB,Electronics,Storage Solutions,185,80,24.99,2024-05-08,South
P046,Mobile Pedestal,Furniture,Comfort Furnishings,28,15,159.99,2024-04-16,East
P047,HD Monitor 24inch,Electronics,Display Direct,52,28,249.99,2024-04-29,East
P048,Office Partition,Furniture,Comfort Furnishings,22,12,299.99,2024-04-10,West
P049,Portable Charger,Electronics,TechSupply Co,142,65,34.99,2024-05-04,North
P050,L-Shaped Desk,Furniture,Comfort Furnishings,14,8,749.99,2024-03-28,South
